,d2l,lon,lat
100,0.007937360912993515,10.3264150614,47.7755065272
101,0.014664378907035128,10.3262885744,47.7750068361
102,0.014118322960347629,10.3261551944,47.7745102423
103,0.01487194236052863,10.3259806838,47.7738871662
104,0.01624121239310446,10.3258380664,47.7733889388
105,0.018884815300115106,10.3256964133,47.7728941485
106,-598372.2652381263,0.3255571745,47.772395491
107,0.01226121766608189,10.3254263916,47.7718990943
108,0.01678591201171547,10.3253052552,47.7713990602
109,0.012945298733644353,10.3251981492,47.7708965714
110,-0.010891451071246304,10.3250900692,47.7702694914
111,0.004203994493440108,10.3250263073,47.7697694463
112,-0.015430203746231594,10.3249863401,47.7692632834
113,-0.013880038610595419,10.324971732,47.7687562505
114,-598732.7307699715,0.3249914989,47.7681248791
115,-598768.4043152317,0.3250379911,47.7676222221
116,-598802.5405916589,0.3251106657,47.7671192161
117,-0.03275248024271295,10.3252076542,47.7666178195
118,-0.05047439468593758,10.3253303952,47.7661189981
119,-598894.9373932473,0.3254776955,47.7656247221
120,-0.09227160473187358,10.3256870028,47.7650098649
121,-0.07698996341448026,10.3258641877,47.7645166923
122,-0.06137882471748235,10.3260419084,47.7640243824
123,-0.05891931450391555,10.3262192295,47.7635330376
124,-0.05939973357905062,10.3263977408,47.7630388025
125,-0.059991299290475995,10.3265758899,47.7625463074
126,-0.0612772419099503,10.3267986336,47.7619312764
127,-0.06315529376088577,10.326976739,47.7614387742
128,-0.06371856480122655,10.3271545799,47.7609467429
129,-0.06045572353790643,10.3273305223,47.7604595427
130,-0.05618589496581818,10.3275521852,47.7598443346
131,-0.057492106138888645,10.3277307901,47.7593506287
132,-0.058680571447095466,10.3279101865,47.7588585965
133,-0.0595250241714259,10.32809201,47.7583649093
134,-0.059793729775202406,10.3282758553,47.7578715621
135,-0.05449623578545333,10.3284609908,47.7573815269
136,-0.048657011503967625,10.328650649,47.7568912459
137,-0.06153682723376819,10.328898934,47.7562786048
138,-0.06836382748619156,10.3291066082,47.7557921693
139,-0.06943749096884042,10.3293218369,47.7553087899
140,-0.06233411884418863,10.3296033586,47.7547042747
141,-0.05000523569625474,10.3298397346,47.7542235621
142,-0.07255118282423385,10.3301532365,47.7536259761
143,-0.08087609864182577,10.3304182533,47.7531515551
144,-0.08474226372174858,10.3306957628,47.7526793097
145,-0.08484249624859684,10.3310570315,47.7520940821
146,-599614.1648795641,0.3313563778,47.7516303781
147,-0.09227997121663206,10.3316639118,47.7511726764
148,-0.07668034306660253,10.3319801651,47.7507185025
149,-0.0761408702078721,10.3323085413,47.7502640835
150,-0.0968007549868813,10.3326498797,47.7498137421
151,-0.11117756685236253,10.3330942942,47.7492545228
152,-599704.1875042983,0.3334560353,47.7488131671
153,-0.0982413587449552,10.3339165183,47.7482644594
154,-0.10134226726560114,10.3342938139,47.7478247222
155,-0.10403300855481494,10.3346751216,47.7473880061
156,-0.10473416829057249,10.3350602692,47.7469531118
157,-0.10400744340093333,10.3355470477,47.7464101251
158,-599772.733218759,0.3359390262,47.7459771311
159,-0.1020401489893604,10.3363306699,47.7455454624
160,-0.09863598411684397,10.3367213933,47.7451140007
161,-0.10192875123642198,10.3371130642,47.7446817579
162,-0.10237457202395156,10.3375049954,47.7442496222
163,-599820.8685244232,0.33789617,47.7438186391
164,-0.10223586653662903,10.3382869396,47.7433883675
165,-0.1023317127793432,10.338678243,47.7429577302
166,-0.10241206092819455,10.3390700512,47.7425267153
167,-0.10254612196106488,10.3395593933,47.7419885797
168,-0.1025054373588713,10.339951539,47.7415574111
169,-0.10239384719880235,10.3403433083,47.7411266731
170,-0.10249090812684773,10.3408340529,47.7405870654
171,-0.10239537606052987,10.3412255448,47.7401565059
172,-0.10224775405049545,10.3417164858,47.7396163934
173,-0.10226891856939845,10.3421095049,47.7391838273
174,-0.10219971962063239,10.3425016247,47.7387520621
175,-0.10215895524613149,10.3428920579,47.7383219449
176,-0.10212654502913976,10.3432823485,47.7378917689
177,-0.10199958804747963,10.343673077,47.7374608948
178,-599971.4693118742,0.3440632825,47.7370303911
179,-0.10197951830897453,10.344551692,47.7364912857
180,-0.10197820722031908,10.3450415067,47.7359504167
181,-0.10193712714079871,10.3454316001,47.7355195742
182,-0.10163840359938205,10.3458222776,47.7350880937
183,-0.1016515064688137,10.3462141696,47.7346553565
184,-0.10160567658467083,10.3467035967,47.7341152061
185,-0.10185118085578415,10.3470962829,47.7336822101
186,-0.10625175275179043,10.3474890583,47.7332495437
187,-0.10299370619726421,10.3479772234,47.7327115089
188,-0.10340967062013678,10.3483670546,47.7322823149
189,-0.10265467522975971,10.3487610857,47.7318484086
190,-0.10239753119935191,10.349153014,47.7314165645
191,-0.1014298741305517,10.3495437512,47.7309856941
192,-0.09945537209814549,10.3499369879,47.7305520463
193,-0.09597934679837854,10.3503309632,47.7301187031
194,-600136.9735094021,0.3508225534,47.7295832621
195,-0.09214344157238663,10.3513245784,47.7290495745
196,-0.10076875850487521,10.351735632,47.7286258815
197,-0.09807812932115513,10.3521576421,47.7282046942
198,-0.10940995384079975,10.3526988524,47.7276877737
199,-0.11800669637783742,10.3531449373,47.7272804809
200,-0.12390061900224399,10.3536023764,47.7268773661
201,-0.12159286416510014,10.354067516,47.7264792211
202,-0.12521115738535177,10.3546556994,47.7259886842
203,-0.12587389167311439,10.3551325413,47.7255981615
204,-0.1293350313078852,10.3556127232,47.7252085253
205,-0.13250745848397302,10.3560911499,47.7248208301
206,-0.13554183173292225,10.3565680307,47.7244309781
207,-0.13788413425547938,10.3570387693,47.7240377588
208,-0.12980604774172577,10.3574962156,47.7236412829
209,-0.12936774283508243,10.3580498633,47.7231338017
210,-0.12293852534863631,10.358472329,47.7227173797
211,-0.12289725287602002,10.3588714156,47.7222906346
212,-0.10602405605861809,10.3592432867,47.7218500214
213,-600239.1452249627,0.3595848194,47.7213972641
214,-0.08041853988810671,10.359892896,47.7209345742
215,-0.08093742536387181,10.3602305446,47.7203454697
216,-0.07963850750340608,10.3604652019,47.7198620544
217,-0.055926162742202246,10.3606643097,47.7193722323
218,-0.057853066738109395,10.3608279155,47.7188798032
219,-0.032173099427159554,10.3609571599,47.7183827576
220,-0.036928757479062546,10.3610549824,47.7178786777
221,0.00992982951497749,10.3611245376,47.7173769635
222,0.00023432335287723138,10.3611791157,47.7168713859
223,-0.009294923920452168,10.3612274424,47.7163692769
224,0.012691774041861573,10.3612923937,47.7157349724
225,-600604.3973002443,0.361360725,47.7152311871
226,-0.0234370408745012,10.3614520224,47.7147285618
227,-600668.5612699023,0.3615711963,47.7142273321
228,-0.060456866926746074,10.3617594123,47.7136068917
229,-0.07063518631176709,10.3619395832,47.7131165588
230,-0.0668336061249774,10.3621476059,47.7126299632
231,-0.08242486906633542,10.3623841925,47.7121466883
232,-0.08353202478841602,10.3626441457,47.7116718114
233,-0.1034053459878985,10.3629274368,47.7112003277
234,-0.09451454091216396,10.3632266439,47.7107346762
235,-0.10164081341053832,10.3635360929,47.7102759091
236,-0.10644239670481462,10.3638535451,47.7098204558
237,-0.10697184139975102,10.3641779464,47.7093622415
238,-0.10656866949567584,10.3645802033,47.7087920325
239,-0.10435576849234228,10.3648972546,47.7083312207
240,-0.1012858328504333,10.3652018085,47.7078696113
241,-0.08796243335692784,10.3654913312,47.7074031027
242,-0.08386342373887566,10.3657606197,47.7069284587
243,-0.09151347673688397,10.3660053904,47.7064480988
244,-0.07903550999157825,10.3662199257,47.7059633224
245,-0.07562780855003014,10.3664014044,47.7054709256
246,-0.04439864496393465,10.3665454034,47.7049775108
247,-0.048564230381308866,10.3666561488,47.7044756651
248,-601144.2997329303,0.366731656,47.7039688561
249,-0.0246938453342927,10.3667714633,47.7034617054
250,-0.03227380860675169,10.366776395,47.7029538618
251,-601269.9126128469,0.3667318286,47.7023255911
252,0.009763984764273637,10.3666606161,47.7018229949
253,0.07266433109181818,10.3665650146,47.7013199466
254,0.03487932022046606,10.3664608266,47.7008174083
255,0.016804501142624387,10.3663585574,47.7003134396
256,0.007012649302119772,10.3662641474,47.6998095381
257,0.0050326238046222525,10.3661810014,47.6993082579
258,-0.01987796219083172,10.3661106936,47.6988045815
259,-0.009665281906783207,10.3660521059,47.6982994694
260,-0.011608371016409939,10.3660055238,47.6977970455
261,-0.017063623887854273,10.3659708776,47.6972911838
262,-0.02601540348335521,10.365948076,47.6967825163
263,-0.012926674379517441,10.3659362573,47.6962736795
264,-0.02499403439099974,10.3659374768,47.6957702798
265,-0.03159746084572408,10.3659514732,47.6952654668
266,-0.03349623472039276,10.3659770203,47.6947588571
267,-0.025969969477292822,10.3660132617,47.6942510429
268,-0.023669237064857577,10.366060933,47.6937431594
269,-0.04840183935060693,10.3661218717,47.6932384272
270,-0.029727771676278145,10.3662139931,47.6926091683
271,-0.03773437231018399,10.3663022089,47.6921067731
272,-0.0762112597317901,10.3664042667,47.6916025388
273,-0.02528230392938152,10.3665162133,47.6911002681
274,-0.059994254010979374,10.3666406266,47.6906026263
275,-602201.3498027959,0.3667762272,47.6901070711
276,-0.047999220401100176,10.3669229646,47.6896111748
277,-0.0533675078294034,10.3670811617,47.6891186717
278,-0.0677400821615589,10.3672530317,47.6886244014
279,-0.056268423884003604,10.3674355278,47.6881341794
280,-0.06819946961167929,10.3676296819,47.6876465118
281,-602363.2827941502,0.3678350425,47.6871606711
282,-0.06401341725839156,10.3680510782,47.6866779802
283,-0.07158244401109778,10.3683391188,47.6860759178
284,-0.08205389936291412,10.36858378,47.6855955019
285,-0.0670267701591013,10.3688388365,47.6851180766
286,-602479.7017977944,0.369105174,47.6846442581
287,-0.08204337151657913,10.3693823819,47.6841740822
288,-0.08045846792194573,10.3696709639,47.6837059399
289,-0.08125763109588381,10.3699697165,47.6832426091
290,-0.09072926874768182,10.3702013036,47.6828969423
291,-0.08765195281665943,10.3706026929,47.6823212166
292,-0.0876313091023119,10.3709318985,47.6818695716
293,-0.09225973912405715,10.3712738862,47.6814191694
294,-0.10163238523874543,10.3716283307,47.6809706087
295,-0.10076786771129782,10.3719928705,47.6805283118
296,-0.08555085421171389,10.3723655419,47.6800902442
297,-602645.3949486432,0.3728509317,47.6795464241
298,-0.09259069326749096,10.3732551679,47.6791191865
299,-0.09410082424504078,10.3736773162,47.6786995901
300,-0.09672050017806562,10.3741207852,47.6782891789
301,-0.10298009742275187,10.3745838501,47.6778912365
302,-0.0990338853953054,10.3750680686,47.6775085295
303,-0.125473308430382,10.3755800304,47.6771422411
304,-0.10815525624044128,10.3761248668,47.6767908912
305,-0.14225347163705596,10.3766954011,47.6764616369
306,-0.17827790162144277,10.3772921073,47.6761507978
307,-0.10324412357606824,10.3779070117,47.6758551984
308,-0.07605874125991588,10.3785398894,47.6755849224
309,-0.1880672134814037,10.3792036658,47.6753464393
310,-0.1806436931044575,10.3798893306,47.6751358994
311,-0.139831699186795,10.3805899089,47.6749496162
312,-0.1557087210415973,10.3814864921,47.6747537749
313,-602461.1257849325,0.3822170207,47.6746283961
314,-0.16116811935498396,10.3829566771,47.6745315409
315,-0.17086510663311663,10.3837002092,47.6744625195
316,-0.15705884001541387,10.3844519151,47.6744209017
317,-0.15790936509538325,10.3852048128,47.6744081961
318,-0.14927399090700627,10.3859498171,47.6744234985
319,-0.16001906445482245,10.3866927738,47.6744667282
320,-0.14172903119282967,10.3874344483,47.6745374336
321,-0.1439072815363411,10.3881733388,47.6746368829
322,-0.15138821927345508,10.3889004645,47.6747641898
323,-0.15238580940705243,10.389619277,47.6749189333
324,-0.14335735610294822,10.390325019,47.6751003208
325,-0.19507569169773326,10.3911854238,47.6753579354
326,-0.2131914014476208,10.3918606702,47.6755742292
327,-0.18773947300359164,10.3925416758,47.6757881001
328,-0.15101429909889844,10.3932341528,47.6759908255
329,-0.18373088168672438,10.3939315447,47.6761736229
330,-0.14462897585301912,10.394642239,47.6763313983
331,-0.1476900525500328,10.3953673849,47.6764637599
332,-0.1461715016640515,10.3960979273,47.6765695213
333,-0.14702537882462444,10.3968435325,47.6766510839
334,-0.16290889794502564,10.3975874028,47.6767060644
335,-0.1660402641818438,10.3983341464,47.6767346144
336,-0.15285516358814527,10.3990880405,47.6767365537
337,-0.1580462972890777,10.3998351712,47.6767128332
338,-0.16285159612184227,10.400581739,47.6766632431
339,-0.16601169215254374,10.4013242402,47.6765877068
340,-0.15763176305620666,10.4020618608,47.6764852485
341,-0.1610502035657984,10.4029731704,47.6763201293
342,-0.16012383420085088,10.4036859896,47.6761602472
343,-0.16070629950491339,10.404386192,47.6759754207
344,-0.15584370336118117,10.4050697814,47.6757666548
345,-0.15410944931880574,10.4057357375,47.6755350879
346,-600970.2046472833,0.4062262905,47.6753450211
347,-0.1341093114948095,10.4070147691,47.6750003124
348,-0.13633740218259977,10.4076198916,47.6747007683
349,-0.1510485427303889,10.4082015827,47.6743812565
350,-0.12129826339852631,10.4088922022,47.6739524626
351,-0.11642462011054636,10.4094117083,47.6735892768
352,-0.12377364979824748,10.4099050683,47.6732082431
353,-0.12066312033767702,10.4103697413,47.6728105561
354,-600921.7721904687,0.4108040102,47.6723954491
355,-600930.5516518215,0.4112040914,47.6719673641
356,-0.0640774236602052,10.4115725525,47.6715260094
357,-0.04548555718863916,10.4119147765,47.6710754099
358,-0.08736524605363635,10.4122404384,47.6706192633
359,-0.12171690937288282,10.4125566347,47.6701587293
360,-0.06755811594219914,10.4128585519,47.6696960626
361,-0.054971161468890466,10.4131509025,47.6692289789
362,-0.060805182913890504,10.4134405523,47.6687595037
363,-0.06702708236072744,10.413731192,47.6682919338
